"","navn","ministerpost","parti","start","stop","dod","regering","r_start","r_stop","time","p_start","p_stop","early","regering_lower","Nr","Regeringsnavn","Fra","Parti(er)","Til","Kaldenavn","url_add"
"1208","Søren Gade Jensen"," Forsvarsminister (til 23.02.10)  og "," (V)",2009-04-05,2010-02-23,"23.02.10","Regeringen-Lars-Loekke-Rasmussen-I",2009-04-05,NA,0.887671232876755,2009-04-05,2010-02-23,NA,"regeringen-lars-loekke-rasmussen-i",73,"Regeringen Lars Løkke Rasmussen I","5. april 2009","Venstre, Det Konservative Folkeparti","3. oktober 2011 (2 år og 181 dage)","VK-regeringen","Regeringen-Lars-Loekke-Rasmussen-I"
"1209","Kristian Jensen"," Skatteminister (til 23.02.10)  og "," (V)",2009-04-05,2010-02-23,"23.02.10","Regeringen-Lars-Loekke-Rasmussen-I",2009-04-05,NA,0.887671232876755,2009-04-05,2010-02-23,NA,"regeringen-lars-loekke-rasmussen-i",73,"Regeringen Lars Løkke Rasmussen I","5. april 2009","Venstre, Det Konservative Folkeparti","3. oktober 2011 (2 år og 181 dage)","VK-regeringen","Regeringen-Lars-Loekke-Rasmussen-I"
"1210","Bertel Haarder"," Undervisningsminister og minister for nordisk samarbejde (til 23.02.10)  og "," (V)",2009-04-05,2010-02-23,"23.02.10","Regeringen-Lars-Loekke-Rasmussen-I",2009-04-05,NA,0.887671232876755,2009-04-05,2010-02-23,NA,"regeringen-lars-loekke-rasmussen-i",73,"Regeringen Lars Løkke Rasmussen I","5. april 2009","Venstre, Det Konservative Folkeparti","3. oktober 2011 (2 år og 181 dage)","VK-regeringen","Regeringen-Lars-Loekke-Rasmussen-I"
"1211","Bertel Haarder"," Indenrigs- og sundhedsminister (fra 23.02.10)  og "," (V)",2010-02-23,2010-02-23,"23.02.10","Regeringen-Lars-Loekke-Rasmussen-I",2009-04-05,NA,0,2009-04-05,2010-02-23,NA,"regeringen-lars-loekke-rasmussen-i",73,"Regeringen Lars Løkke Rasmussen I","5. april 2009","Venstre, Det Konservative Folkeparti","3. oktober 2011 (2 år og 181 dage)","VK-regeringen","Regeringen-Lars-Loekke-Rasmussen-I"
"1212","Transportminister Hans Christian Schmidt (fra 23.02.10) "," og "," (V)",2009-04-05,NA,"","Regeringen-Lars-Loekke-Rasmussen-I",2009-04-05,NA,NA,2009-04-05,NA,NA,"regeringen-lars-loekke-rasmussen-i",73,"Regeringen Lars Løkke Rasmussen I","5. april 2009","Venstre, Det Konservative Folkeparti","3. oktober 2011 (2 år og 181 dage)","VK-regeringen","Regeringen-Lars-Loekke-Rasmussen-I"
"1213","Helge Sander"," Minister for videnskab og  teknologi og udvikling (til 23.02.10) "," (V)",2009-04-05,2010-02-23,"23.02.10","Regeringen-Lars-Loekke-Rasmussen-I",2009-04-05,NA,0.887671232876755,2009-04-05,2010-02-23,NA,"regeringen-lars-loekke-rasmussen-i",73,"Regeringen Lars Løkke Rasmussen I","5. april 2009","Venstre, Det Konservative Folkeparti","3. oktober 2011 (2 år og 181 dage)","VK-regeringen","Regeringen-Lars-Loekke-Rasmussen-I"
"1214","Ulla Tørnæs"," Minister for udviklingsbistand (til 23.02.10)  og "," (V)",2009-04-05,2010-02-23,"23.02.10","Regeringen-Lars-Loekke-Rasmussen-I",2009-04-05,NA,0.887671232876755,2009-04-05,2010-02-23,NA,"regeringen-lars-loekke-rasmussen-i",73,"Regeringen Lars Løkke Rasmussen I","5. april 2009","Venstre, Det Konservative Folkeparti","3. oktober 2011 (2 år og 181 dage)","VK-regeringen","Regeringen-Lars-Loekke-Rasmussen-I"
"1215","Eva Kjer Hansen"," Minister for fødevarer og  landbrug og fiskeri (til 23.02.10) "," (V)",2009-04-05,2010-02-23,"23.02.10","Regeringen-Lars-Loekke-Rasmussen-I",2009-04-05,NA,0.887671232876755,2009-04-05,2010-02-23,NA,"regeringen-lars-loekke-rasmussen-i",73,"Regeringen Lars Løkke Rasmussen I","5. april 2009","Venstre, Det Konservative Folkeparti","3. oktober 2011 (2 år og 181 dage)","VK-regeringen","Regeringen-Lars-Loekke-Rasmussen-I"
"1216","Connie Hedegaard"," Klima- og energiminister (til 24.11.09)  og "," (C)",2009-04-05,2009-11-24,"24.11.09","Regeringen-Lars-Loekke-Rasmussen-I",2009-04-05,NA,0.638356164383595,2009-04-05,2009-12-20,NA,"regeringen-lars-loekke-rasmussen-i",73,"Regeringen Lars Løkke Rasmussen I","5. april 2009","Venstre, Det Konservative Folkeparti","3. oktober 2011 (2 år og 181 dage)","VK-regeringen","Regeringen-Lars-Loekke-Rasmussen-I"
"1217","Connie Hedegaard"," Minister for FN's klimakonference i København i 2009 (til 20.12.09)  og "," (C)",2009-04-05,2009-12-20,"20.12.09","Regeringen-Lars-Loekke-Rasmussen-I",2009-04-05,NA,0.709589041096024,2009-04-05,2009-12-20,NA,"regeringen-lars-loekke-rasmussen-i",73,"Regeringen Lars Løkke Rasmussen I","5. april 2009","Venstre, Det Konservative Folkeparti","3. oktober 2011 (2 år og 181 dage)","VK-regeringen","Regeringen-Lars-Loekke-Rasmussen-I"
"1218","Carina Christensen"," Kulturminister (til 23.02.10)  og "," (C)",2009-04-05,2010-02-23,"23.02.10","Regeringen-Lars-Loekke-Rasmussen-I",2009-04-05,NA,0.887671232876755,2009-04-05,2010-02-23,NA,"regeringen-lars-loekke-rasmussen-i",73,"Regeringen Lars Løkke Rasmussen I","5. april 2009","Venstre, Det Konservative Folkeparti","3. oktober 2011 (2 år og 181 dage)","VK-regeringen","Regeringen-Lars-Loekke-Rasmussen-I"
"1219","Karen Jespersen"," Velfærdsminister og minister for ligestilling (til 07.04.09)  og "," (V)",2009-04-05,2009-04-07,"07.04.09","Regeringen-Lars-Loekke-Rasmussen-I",2009-04-05,NA,0.00547945205494216,2009-04-05,2009-04-07,NA,"regeringen-lars-loekke-rasmussen-i",73,"Regeringen Lars Løkke Rasmussen I","5. april 2009","Venstre, Det Konservative Folkeparti","3. oktober 2011 (2 år og 181 dage)","VK-regeringen","Regeringen-Lars-Loekke-Rasmussen-I"
"1220","Jakob Axel Nielsen"," Minister for sundhed og forebyggelse (til 23.02.10)  og "," (C)",2009-04-05,2010-02-23,"23.02.10","Regeringen-Lars-Loekke-Rasmussen-I",2009-04-05,NA,0.887671232876755,2009-04-05,2010-02-23,NA,"regeringen-lars-loekke-rasmussen-i",73,"Regeringen Lars Løkke Rasmussen I","5. april 2009","Venstre, Det Konservative Folkeparti","3. oktober 2011 (2 år og 181 dage)","VK-regeringen","Regeringen-Lars-Loekke-Rasmussen-I"
"1221","Birthe Rønn Hornbech"," Minister for flygtninge og  indvandrere og integration og kirkeminister (til 08.03.2011) "," (V)",2009-04-05,2011-03-08,"08.03.2011","Regeringen-Lars-Loekke-Rasmussen-I",2009-04-05,NA,1.92328767123308,2009-04-05,2011-03-08,NA,"regeringen-lars-loekke-rasmussen-i",73,"Regeringen Lars Løkke Rasmussen I","5. april 2009","Venstre, Det Konservative Folkeparti","3. oktober 2011 (2 år og 181 dage)","VK-regeringen","Regeringen-Lars-Loekke-Rasmussen-I"
"1222","Troels Lund Poulsen"," Miljøminister (til 23.02.10)  og "," (V)",2009-04-05,2010-02-23,"23.02.10","Regeringen-Lars-Loekke-Rasmussen-I",2009-04-05,NA,0.887671232876755,2009-04-05,2011-03-08,NA,"regeringen-lars-loekke-rasmussen-i",73,"Regeringen Lars Løkke Rasmussen I","5. april 2009","Venstre, Det Konservative Folkeparti","3. oktober 2011 (2 år og 181 dage)","VK-regeringen","Regeringen-Lars-Loekke-Rasmussen-I"
"1223","Troels Lund Poulsen"," Skatteminister (fra 23.02.10 til 08.03.11)  og "," (V)",2010-02-23,2010-02-23,"23.02.10","Regeringen-Lars-Loekke-Rasmussen-I",2009-04-05,NA,0,2009-04-05,2011-03-08,NA,"regeringen-lars-loekke-rasmussen-i",73,"Regeringen Lars Løkke Rasmussen I","5. april 2009","Venstre, Det Konservative Folkeparti","3. oktober 2011 (2 år og 181 dage)","VK-regeringen","Regeringen-Lars-Loekke-Rasmussen-I"
"1224","Troels Lund Poulsen"," Undervisningsminister (fra 08.03.11)  og "," (V)",2011-03-08,2011-03-08,"08.03.11","Regeringen-Lars-Loekke-Rasmussen-I",2009-04-05,NA,0,2009-04-05,2011-03-08,NA,"regeringen-lars-loekke-rasmussen-i",73,"Regeringen Lars Løkke Rasmussen I","5. april 2009","Venstre, Det Konservative Folkeparti","3. oktober 2011 (2 år og 181 dage)","VK-regeringen","Regeringen-Lars-Loekke-Rasmussen-I"
"1225","Inger Støjberg"," Beskæftigelsesminister og minister for ligestilling (fra 07.04.09 til 23.02.10)  og "," (V)",2009-04-07,2009-04-07,"07.04.09","Regeringen-Lars-Loekke-Rasmussen-I",2009-04-05,NA,0,2009-04-07,2010-02-23,NA,"regeringen-lars-loekke-rasmussen-i",73,"Regeringen Lars Løkke Rasmussen I","5. april 2009","Venstre, Det Konservative Folkeparti","3. oktober 2011 (2 år og 181 dage)","VK-regeringen","Regeringen-Lars-Loekke-Rasmussen-I"
"1226","Inger Støjberg"," Beskæftigelsesminister (fra 23.02.10)  og "," (V)",2010-02-23,2010-02-23,"23.02.10","Regeringen-Lars-Loekke-Rasmussen-I",2009-04-05,NA,0,2009-04-07,2010-02-23,NA,"regeringen-lars-loekke-rasmussen-i",73,"Regeringen Lars Løkke Rasmussen I","5. april 2009","Venstre, Det Konservative Folkeparti","3. oktober 2011 (2 år og 181 dage)","VK-regeringen","Regeringen-Lars-Loekke-Rasmussen-I"
"1227","Karen Ellemann"," Indenrigs- og socialminister (fra 07.04.09 til 23.02.10)  og "," (V)",2009-04-07,2009-04-07,"07.04.09","Regeringen-Lars-Loekke-Rasmussen-I",2009-04-05,NA,0,2009-04-07,2010-02-23,NA,"regeringen-lars-loekke-rasmussen-i",73,"Regeringen Lars Løkke Rasmussen I","5. april 2009","Venstre, Det Konservative Folkeparti","3. oktober 2011 (2 år og 181 dage)","VK-regeringen","Regeringen-Lars-Loekke-Rasmussen-I"
"1228","Karen Ellemann"," Miljøminister og minister for nordisk samarbejde(fra 23.02.10)  og "," (V)",2010-02-23,2010-02-23,"23.02.10","Regeringen-Lars-Loekke-Rasmussen-I",2009-04-05,NA,0,2009-04-07,2010-02-23,NA,"regeringen-lars-loekke-rasmussen-i",73,"Regeringen Lars Løkke Rasmussen I","5. april 2009","Venstre, Det Konservative Folkeparti","3. oktober 2011 (2 år og 181 dage)","VK-regeringen","Regeringen-Lars-Loekke-Rasmussen-I"
"1229","Lykke Friis"," Klima- og energiminister (fra 24.11.09 til 23.02.10)  og "," (V)",2009-11-24,2009-11-24,"24.11.09","Regeringen-Lars-Loekke-Rasmussen-I",2009-04-05,NA,0,2009-11-24,2010-02-23,NA,"regeringen-lars-loekke-rasmussen-i",73,"Regeringen Lars Løkke Rasmussen I","5. april 2009","Venstre, Det Konservative Folkeparti","3. oktober 2011 (2 år og 181 dage)","VK-regeringen","Regeringen-Lars-Loekke-Rasmussen-I"
"1230","Lykke Friis"," Klima- og energiminister og minister for ligestilling (fra 23.02.10)  og "," (V)",2010-02-23,2010-02-23,"23.02.10","Regeringen-Lars-Loekke-Rasmussen-I",2009-04-05,NA,0,2009-11-24,2010-02-23,NA,"regeringen-lars-loekke-rasmussen-i",73,"Regeringen Lars Løkke Rasmussen I","5. april 2009","Venstre, Det Konservative Folkeparti","3. oktober 2011 (2 år og 181 dage)","VK-regeringen","Regeringen-Lars-Loekke-Rasmussen-I"
"1231","Gitte Lillelund Bech"," Forsvarsminister (fra 23.02.10)  og "," (V)",2010-02-23,2010-02-23,"23.02.10","Regeringen-Lars-Loekke-Rasmussen-I",2009-04-05,NA,0,2010-02-23,2010-02-23,NA,"regeringen-lars-loekke-rasmussen-i",73,"Regeringen Lars Løkke Rasmussen I","5. april 2009","Venstre, Det Konservative Folkeparti","3. oktober 2011 (2 år og 181 dage)","VK-regeringen","Regeringen-Lars-Loekke-Rasmussen-I"
"1232","Tina Nedergaard"," Undervisningsminister (fra 23.02.10 til 08.03.11)  og "," (V)",2010-02-23,2010-02-23,"23.02.10","Regeringen-Lars-Loekke-Rasmussen-I",2009-04-05,NA,0,2010-02-23,2010-02-23,NA,"regeringen-lars-loekke-rasmussen-i",73,"Regeringen Lars Løkke Rasmussen I","5. april 2009","Venstre, Det Konservative Folkeparti","3. oktober 2011 (2 år og 181 dage)","VK-regeringen","Regeringen-Lars-Loekke-Rasmussen-I"
"1233","Søren Pind"," Minister for udviklingsbistand (fra 23.02.10)  og "," (V)",2010-02-23,2010-02-23,"23.02.10","Regeringen-Lars-Loekke-Rasmussen-I",2009-04-05,NA,0,2010-02-23,2011-03-08,NA,"regeringen-lars-loekke-rasmussen-i",73,"Regeringen Lars Løkke Rasmussen I","5. april 2009","Venstre, Det Konservative Folkeparti","3. oktober 2011 (2 år og 181 dage)","VK-regeringen","Regeringen-Lars-Loekke-Rasmussen-I"
"1234","Søren Pind"," Minister for flygtninge og  indvandrere og integration og Minister for udviklingsbistand (fra 08.03.11) "," (V)",2011-03-08,2011-03-08,"08.03.11","Regeringen-Lars-Loekke-Rasmussen-I",2009-04-05,NA,0,2010-02-23,2011-03-08,NA,"regeringen-lars-loekke-rasmussen-i",73,"Regeringen Lars Løkke Rasmussen I","5. april 2009","Venstre, Det Konservative Folkeparti","3. oktober 2011 (2 år og 181 dage)","VK-regeringen","Regeringen-Lars-Loekke-Rasmussen-I"
"1235","Henrik Høegh"," Minister for fødevarer og  landbrug og fiskeri (fra 23.02.10) "," (V)",2010-02-23,2010-02-23,"23.02.10","Regeringen-Lars-Loekke-Rasmussen-I",2009-04-05,NA,0,2010-02-23,2010-02-23,NA,"regeringen-lars-loekke-rasmussen-i",73,"Regeringen Lars Løkke Rasmussen I","5. april 2009","Venstre, Det Konservative Folkeparti","3. oktober 2011 (2 år og 181 dage)","VK-regeringen","Regeringen-Lars-Loekke-Rasmussen-I"
"1236","Benedikte Kiær"," Socialminister (fra 23.02.10)  og "," (C)",2010-02-23,2010-02-23,"23.02.10","Regeringen-Lars-Loekke-Rasmussen-I",2009-04-05,NA,0,2010-02-23,2010-02-23,NA,"regeringen-lars-loekke-rasmussen-i",73,"Regeringen Lars Løkke Rasmussen I","5. april 2009","Venstre, Det Konservative Folkeparti","3. oktober 2011 (2 år og 181 dage)","VK-regeringen","Regeringen-Lars-Loekke-Rasmussen-I"
"1237","Charlotte Sahl-Madsen"," Minister for videnskab og  teknologi og udvikling (fra 23.02.10) "," (C)",2010-02-23,2010-02-23,"23.02.10","Regeringen-Lars-Loekke-Rasmussen-I",2009-04-05,NA,0,2010-02-23,2010-02-23,NA,"regeringen-lars-loekke-rasmussen-i",73,"Regeringen Lars Løkke Rasmussen I","5. april 2009","Venstre, Det Konservative Folkeparti","3. oktober 2011 (2 år og 181 dage)","VK-regeringen","Regeringen-Lars-Loekke-Rasmussen-I"
"1238","Peter Christensen"," Skatteminister (fra 08.03.11) og "," (V)",2011-03-08,2011-03-08,"08.03.11","Regeringen-Lars-Loekke-Rasmussen-I",2009-04-05,NA,0,2011-03-08,2011-03-08,NA,"regeringen-lars-loekke-rasmussen-i",73,"Regeringen Lars Løkke Rasmussen I","5. april 2009","Venstre, Det Konservative Folkeparti","3. oktober 2011 (2 år og 181 dage)","VK-regeringen","Regeringen-Lars-Loekke-Rasmussen-I"
"1239","Helle Thorning-Schmidt"," Statsminister  og "," (A)",2011-10-03,NA,"","Regeringen-Helle-Thorning-Schmidt-I",2011-10-03,NA,NA,2011-10-03,NA,NA,"regeringen-helle-thorning-schmidt-i",74,"Regeringen Helle Thorning-Schmidt I","3. oktober 2011","Socialdemokratiet, Det Radikale Venstre, Socialistisk Folkeparti","3. februar 2014 (2 år og 123 dage)","SRSF-regeringen","Regeringen-Helle-Thorning-Schmidt-I"
"1240","Margrethe Vestager Hansen"," Økonomi- og indenrigsminister  og "," (B)",2011-10-03,NA,"","Regeringen-Helle-Thorning-Schmidt-I",2011-10-03,NA,NA,2011-10-03,NA,NA,"regeringen-helle-thorning-schmidt-i",74,"Regeringen Helle Thorning-Schmidt I","3. oktober 2011","Socialdemokratiet, Det Radikale Venstre, Socialistisk Folkeparti","3. februar 2014 (2 år og 123 dage)","SRSF-regeringen","Regeringen-Helle-Thorning-Schmidt-I"
"1241","Annette Vilhelmsen"," Erhvervs- og vækstminister (fra 16.10.12 til 09.08.13)  og "," (F)",2012-10-16,2012-10-16,"16.10.12","Regeringen-Helle-Thorning-Schmidt-I",2011-10-03,NA,0,2012-10-16,2013-08-09,NA,"regeringen-helle-thorning-schmidt-i",74,"Regeringen Helle Thorning-Schmidt I","3. oktober 2011","Socialdemokratiet, Det Radikale Venstre, Socialistisk Folkeparti","3. februar 2014 (2 år og 123 dage)","SRSF-regeringen","Regeringen-Helle-Thorning-Schmidt-I"
"1242","Annette Vilhelmsen","Social- og  børne- og integrationsminister (fra 09.08.13) "," (F)",2013-08-09,2013-08-09,"09.08.13","Regeringen-Helle-Thorning-Schmidt-I",2011-10-03,NA,0,2012-10-16,2013-08-09,NA,"regeringen-helle-thorning-schmidt-i",74,"Regeringen Helle Thorning-Schmidt I","3. oktober 2011","Socialdemokratiet, Det Radikale Venstre, Socialistisk Folkeparti","3. februar 2014 (2 år og 123 dage)","SRSF-regeringen","Regeringen-Helle-Thorning-Schmidt-I"
"1243","Villy Søvndal"," Udenrigsminister (til 12.12.13)  og "," (F)",2011-10-03,2013-12-12,"12.12.13","Regeringen-Helle-Thorning-Schmidt-I",2011-10-03,NA,2.19178082191775,2011-10-03,2013-12-12,NA,"regeringen-helle-thorning-schmidt-i",74,"Regeringen Helle Thorning-Schmidt I","3. oktober 2011","Socialdemokratiet, Det Radikale Venstre, Socialistisk Folkeparti","3. februar 2014 (2 år og 123 dage)","SRSF-regeringen","Regeringen-Helle-Thorning-Schmidt-I"
"1244","Bjarne Fog Corydon"," Finansminister  og "," (A)",2011-10-03,NA,"","Regeringen-Helle-Thorning-Schmidt-I",2011-10-03,NA,NA,2011-10-03,NA,NA,"regeringen-helle-thorning-schmidt-i",74,"Regeringen Helle Thorning-Schmidt I","3. oktober 2011","Socialdemokratiet, Det Radikale Venstre, Socialistisk Folkeparti","3. februar 2014 (2 år og 123 dage)","SRSF-regeringen","Regeringen-Helle-Thorning-Schmidt-I"
"1245","Morten Bødskov"," Justitsminister (til 12.12.13)  og "," (A)",2011-10-03,2013-12-12,"12.12.13","Regeringen-Helle-Thorning-Schmidt-I",2011-10-03,NA,2.19178082191775,2011-10-03,2013-12-12,NA,"regeringen-helle-thorning-schmidt-i",74,"Regeringen Helle Thorning-Schmidt I","3. oktober 2011","Socialdemokratiet, Det Radikale Venstre, Socialistisk Folkeparti","3. februar 2014 (2 år og 123 dage)","SRSF-regeringen","Regeringen-Helle-Thorning-Schmidt-I"
"1246","Morten Østergaard Kristensen"," Minister for forskning og  innovation og videregående uddannelser "," (B)",2011-10-03,NA,"","Regeringen-Helle-Thorning-Schmidt-I",2011-10-03,NA,NA,2011-10-03,NA,NA,"regeringen-helle-thorning-schmidt-i",74,"Regeringen Helle Thorning-Schmidt I","3. oktober 2011","Socialdemokratiet, Det Radikale Venstre, Socialistisk Folkeparti","3. februar 2014 (2 år og 123 dage)","SRSF-regeringen","Regeringen-Helle-Thorning-Schmidt-I"
"1247","Holger K. Nielsen"," Skatteminister (fra 16.10.12 til 12.12.13)  og "," (F)",2012-10-16,2012-10-16,"16.10.12","Regeringen-Helle-Thorning-Schmidt-I",2011-10-03,NA,0,2011-10-03,2013-12-12,NA,"regeringen-helle-thorning-schmidt-i",74,"Regeringen Helle Thorning-Schmidt I","3. oktober 2011","Socialdemokratiet, Det Radikale Venstre, Socialistisk Folkeparti","3. februar 2014 (2 år og 123 dage)","SRSF-regeringen","Regeringen-Helle-Thorning-Schmidt-I"
"1248","Holger K. Nielsen"," Udenrigsminister (fra12.12.13)  og "," (F)",2011-10-03,2013-12-12,"12.12.13","Regeringen-Helle-Thorning-Schmidt-I",2011-10-03,NA,2.19178082191775,2011-10-03,2013-12-12,NA,"regeringen-helle-thorning-schmidt-i",74,"Regeringen Helle Thorning-Schmidt I","3. oktober 2011","Socialdemokratiet, Det Radikale Venstre, Socialistisk Folkeparti","3. februar 2014 (2 år og 123 dage)","SRSF-regeringen","Regeringen-Helle-Thorning-Schmidt-I"
"1249","Thor Möger Pedersen"," Skatteminister (til 16.10.12)  og "," (F)",2011-10-03,2012-10-16,"16.10.12","Regeringen-Helle-Thorning-Schmidt-I",2011-10-03,NA,1.03619282880459,2011-10-03,2012-10-16,NA,"regeringen-helle-thorning-schmidt-i",74,"Regeringen Helle Thorning-Schmidt I","3. oktober 2011","Socialdemokratiet, Det Radikale Venstre, Socialistisk Folkeparti","3. februar 2014 (2 år og 123 dage)","SRSF-regeringen","Regeringen-Helle-Thorning-Schmidt-I"
"1250","Henrik Dam Kristensen"," Transportminister (til 09.08.13)  og "," (A)",2011-10-03,2013-08-09,"09.08.13","Regeringen-Helle-Thorning-Schmidt-I",2011-10-03,NA,1.8493150684933,2011-10-03,2013-08-09,NA,"regeringen-helle-thorning-schmidt-i",74,"Regeringen Helle Thorning-Schmidt I","3. oktober 2011","Socialdemokratiet, Det Radikale Venstre, Socialistisk Folkeparti","3. februar 2014 (2 år og 123 dage)","SRSF-regeringen","Regeringen-Helle-Thorning-Schmidt-I"
"1251","Ole Christian Liep Sohn"," Erhvervs- og vækstminister (til 16.10.12)  og "," (F)",2011-10-03,2012-10-16,"16.10.12","Regeringen-Helle-Thorning-Schmidt-I",2011-10-03,NA,1.03619282880459,2011-10-03,2012-10-16,NA,"regeringen-helle-thorning-schmidt-i",74,"Regeringen Helle Thorning-Schmidt I","3. oktober 2011","Socialdemokratiet, Det Radikale Venstre, Socialistisk Folkeparti","3. februar 2014 (2 år og 123 dage)","SRSF-regeringen","Regeringen-Helle-Thorning-Schmidt-I"
"1252","Carsten Mogens Hansen"," Minister for by og  bolig og landdistrikter "," (A)",2011-10-03,NA,"","Regeringen-Helle-Thorning-Schmidt-I",2011-10-03,NA,NA,2011-10-03,NA,NA,"regeringen-helle-thorning-schmidt-i",74,"Regeringen Helle Thorning-Schmidt I","3. oktober 2011","Socialdemokratiet, Det Radikale Venstre, Socialistisk Folkeparti","3. februar 2014 (2 år og 123 dage)","SRSF-regeringen","Regeringen-Helle-Thorning-Schmidt-I"
"1253","Mette Frederiksen"," Beskæftigelsesminister  og "," (A)",2011-10-03,NA,"","Regeringen-Helle-Thorning-Schmidt-I",2011-10-03,NA,NA,2011-10-03,NA,NA,"regeringen-helle-thorning-schmidt-i",74,"Regeringen Helle Thorning-Schmidt I","3. oktober 2011","Socialdemokratiet, Det Radikale Venstre, Socialistisk Folkeparti","3. februar 2014 (2 år og 123 dage)","SRSF-regeringen","Regeringen-Helle-Thorning-Schmidt-I"
"1254","Christine Edda Antorini"," Børne- og undervisningsminister (til 09.08.13)  og "," (A)",2011-10-03,2013-08-09,"09.08.13","Regeringen-Helle-Thorning-Schmidt-I",2011-10-03,NA,1.8493150684933,2011-10-03,2013-08-09,NA,"regeringen-helle-thorning-schmidt-i",74,"Regeringen Helle Thorning-Schmidt I","3. oktober 2011","Socialdemokratiet, Det Radikale Venstre, Socialistisk Folkeparti","3. februar 2014 (2 år og 123 dage)","SRSF-regeringen","Regeringen-Helle-Thorning-Schmidt-I"
"1255","Christine Edda Antorini"," Undervisningsminister (fra 09.08.13)  og "," (A)",2013-08-09,2013-08-09,"09.08.13","Regeringen-Helle-Thorning-Schmidt-I",2011-10-03,NA,0,2011-10-03,2013-08-09,NA,"regeringen-helle-thorning-schmidt-i",74,"Regeringen Helle Thorning-Schmidt I","3. oktober 2011","Socialdemokratiet, Det Radikale Venstre, Socialistisk Folkeparti","3. februar 2014 (2 år og 123 dage)","SRSF-regeringen","Regeringen-Helle-Thorning-Schmidt-I"
"1256","Karen Angelo Hækkerup"," Social- og integrationsminister (til 09.08.13)  og "," (A)",2011-10-03,2013-08-09,"09.08.13","Regeringen-Helle-Thorning-Schmidt-I",2011-10-03,NA,1.8493150684933,2011-10-03,NA,NA,"regeringen-helle-thorning-schmidt-i",74,"Regeringen Helle Thorning-Schmidt I","3. oktober 2011","Socialdemokratiet, Det Radikale Venstre, Socialistisk Folkeparti","3. februar 2014 (2 år og 123 dage)","SRSF-regeringen","Regeringen-Helle-Thorning-Schmidt-I"
"1257","Karen Angelo Hækkerup"," Minister for fødevarer og  landbrug og fiskeri "," (A)",2011-10-03,NA,"","Regeringen-Helle-Thorning-Schmidt-I",2011-10-03,NA,NA,2011-10-03,NA,NA,"regeringen-helle-thorning-schmidt-i",74,"Regeringen Helle Thorning-Schmidt I","3. oktober 2011","Socialdemokratiet, Det Radikale Venstre, Socialistisk Folkeparti","3. februar 2014 (2 år og 123 dage)","SRSF-regeringen","Regeringen-Helle-Thorning-Schmidt-I"
"1258"," "," og ","(fra 09.08.13 til 12.12.13)",2011-10-03,NA,"","Regeringen-Helle-Thorning-Schmidt-I",2011-10-03,NA,NA,2011-10-03,NA,NA,"regeringen-helle-thorning-schmidt-i",74,"Regeringen Helle Thorning-Schmidt I","3. oktober 2011","Socialdemokratiet, Det Radikale Venstre, Socialistisk Folkeparti","3. februar 2014 (2 år og 123 dage)","SRSF-regeringen","Regeringen-Helle-Thorning-Schmidt-I"
"1259","Karen Angelo Hækkerup"," Justitsminister (fra 12.12.13) og "," (A)",2013-12-12,2013-12-12,"12.12.13","Regeringen-Helle-Thorning-Schmidt-I",2011-10-03,NA,0,2011-10-03,NA,NA,"regeringen-helle-thorning-schmidt-i",74,"Regeringen Helle Thorning-Schmidt I","3. oktober 2011","Socialdemokratiet, Det Radikale Venstre, Socialistisk Folkeparti","3. februar 2014 (2 år og 123 dage)","SRSF-regeringen","Regeringen-Helle-Thorning-Schmidt-I"
"1260","Mette Gjerskov"," Minister for fødevarer og  landbrug og fiskeri (til 09.08.13) "," (A)",2011-10-03,2013-08-09,"09.08.13","Regeringen-Helle-Thorning-Schmidt-I",2011-10-03,NA,1.8493150684933,2011-10-03,2013-08-09,NA,"regeringen-helle-thorning-schmidt-i",74,"Regeringen Helle Thorning-Schmidt I","3. oktober 2011","Socialdemokratiet, Det Radikale Venstre, Socialistisk Folkeparti","3. februar 2014 (2 år og 123 dage)","SRSF-regeringen","Regeringen-Helle-Thorning-Schmidt-I"
"1261","Martin Lidegaard"," Klima- og  energi- og bygningsminister "," (B)",2011-10-03,NA,"","Regeringen-Helle-Thorning-Schmidt-I",2011-10-03,NA,NA,2011-10-03,NA,NA,"regeringen-helle-thorning-schmidt-i",74,"Regeringen Helle Thorning-Schmidt I","3. oktober 2011","Socialdemokratiet, Det Radikale Venstre, Socialistisk Folkeparti","3. februar 2014 (2 år og 123 dage)","SRSF-regeringen","Regeringen-Helle-Thorning-Schmidt-I"
"1262","Pia Olsen Dyhr"," Handels- og investeringsminister (til 09.08.13)  og "," (F)",2011-10-03,2013-08-09,"09.08.13","Regeringen-Helle-Thorning-Schmidt-I",2011-10-03,NA,1.8493150684933,2011-10-03,2013-08-09,NA,"regeringen-helle-thorning-schmidt-i",74,"Regeringen Helle Thorning-Schmidt I","3. oktober 2011","Socialdemokratiet, Det Radikale Venstre, Socialistisk Folkeparti","3. februar 2014 (2 år og 123 dage)","SRSF-regeringen","Regeringen-Helle-Thorning-Schmidt-I"
